Age_Group,Ease_of_Checkout,Time_Spent_Minutes,Payment_Method
25-34,4,5.6,BNPL
55-64,2,4.0,BNPL
35-44,3,4.8,BNPL
35-44,5,3.6,Card
18-24,4,4.4,Card
18-24,1,3.8,PayPal
18-24,2,4.1,BNPL
45-54,4,4.7,PayPal
35-44,1,3.0,PayPal
35-44,3,6.5,Card
18-24,4,2.8,PayPal
55-64,4,2.5,Card
45-54,4,5.4,Card
25-34,3,4.9,Card
18-24,4,4.7,PayPal
18-24,3,4.8,Card
25-34,3,4.0,Card
35-44,4,2.9,PayPal
25-34,4,4.1,Card
25-34,5,3.2,PayPal
35-44,4,5.2,Card
18-24,4,3.8,Card
25-34,2,3.0,PayPal
25-34,4,3.6,Card
25-34,3,4.5,Card
45-54,3,3.3,Card
18-24,5,3.0,Card
35-44,4,4.3,BNPL
35-44,5,4.3,Card
18-24,4,3.4,BNPL
35-44,5,3.4,Card
18-24,4,4.3,PayPal
18-24,4,2.3,PayPal
55-64,4,2.3,PayPal
55-64,3,3.1,Card
45-54,4,3.7,Card
25-34,3,4.4,Card
18-24,1,5.8,BNPL
35-44,4,5.0,BNPL
25-34,3,3.8,BNPL
18-24,5,4.0,Card
25-34,5,2.8,PayPal
18-24,5,4.0,BNPL
55-64,4,3.7,Card
25-34,1,4.4,Card
35-44,5,3.0,PayPal
25-34,4,4.6,PayPal
35-44,5,5.8,BNPL
35-44,5,3.9,Card
18-24,5,4.5,PayPal
55-64,3,4.8,Card
45-54,4,3.5,Card
55-64,5,4.3,Card
45-54,3,4.0,BNPL
35-44,3,4.1,PayPal
55-64,4,3.1,PayPal
18-24,5,4.0,Card
18-24,4,4.6,BNPL
18-24,4,5.7,Card
25-34,2,5.2,BNPL
25-34,4,6.6,Card
25-34,5,3.1,Card
45-54,2,5.0,Card
25-34,4,4.2,Card
25-34,5,6.6,PayPal
35-44,4,3.0,PayPal
18-24,4,3.0,Card
45-54,4,3.3,BNPL
18-24,4,1.5,Card
55-64,3,3.4,PayPal
45-54,5,3.1,BNPL
18-24,5,4.2,PayPal
18-24,5,4.4,Card
45-54,5,6.3,BNPL
35-44,4,5.1,PayPal
35-44,4,3.3,Card
45-54,5,2.9,Card
18-24,4,4.6,PayPal
25-34,4,2.4,PayPal
18-24,5,6.2,PayPal
45-54,5,5.4,BNPL
35-44,3,3.4,PayPal
25-34,4,1.9,Card
18-24,2,5.6,Card
25-34,4,3.9,Card
25-34,1,5.5,PayPal
35-44,4,2.1,Card
35-44,4,3.3,PayPal
45-54,3,4.0,PayPal
25-34,4,4.1,BNPL
18-24,1,3.5,Card
35-44,1,4.7,BNPL
45-54,5,2.7,Card
35-44,4,3.8,BNPL
45-54,2,4.1,Card
25-34,4,4.6,Card
35-44,5,4.9,PayPal
25-34,3,2.7,Card
18-24,4,2.2,Card
18-24,2,5.5,PayPal
18-24,2,4.4,PayPal
35-44,4,3.1,PayPal
25-34,4,5.9,PayPal
35-44,4,4.1,PayPal
55-64,4,5.4,Card
25-34,5,4.1,Card
25-34,4,6.5,Card
45-54,3,6.1,BNPL
25-34,5,3.7,PayPal
18-24,3,5.2,Card
25-34,4,4.8,Card
18-24,2,5.6,BNPL
55-64,1,2.8,Card
45-54,5,4.8,PayPal
35-44,5,5.3,PayPal
45-54,4,1.9,PayPal
45-54,4,2.6,Card
18-24,3,1.6,BNPL
45-54,3,3.7,BNPL
35-44,3,4.9,PayPal
45-54,4,5.8,PayPal
45-54,4,4.1,BNPL
25-34,4,6.0,PayPal
18-24,3,2.3,Card
25-34,5,2.0,PayPal
25-34,4,3.9,PayPal
45-54,4,4.5,Card
45-54,4,4.0,PayPal
18-24,4,1.5,BNPL
35-44,3,3.9,BNPL
25-34,4,2.4,Card
25-34,5,4.8,Card
18-24,1,4.4,BNPL
25-34,2,2.9,BNPL
55-64,1,3.4,Card
25-34,1,2.7,BNPL
35-44,5,3.9,BNPL
35-44,4,5.1,PayPal
25-34,4,2.8,PayPal
55-64,2,4.6,Card
55-64,4,3.4,Card
25-34,4,3.0,Card
25-34,3,3.9,BNPL
25-34,4,2.8,Card
25-34,4,3.3,Card
18-24,4,2.6,Card
35-44,4,6.4,PayPal
35-44,1,4.0,BNPL
18-24,4,3.2,Card
25-34,4,4.3,Card
55-64,4,3.9,PayPal
25-34,5,3.7,Card
18-24,4,4.7,Card
25-34,3,4.9,Card
55-64,2,3.4,Card
25-34,4,3.3,Card
35-44,1,3.7,Card
45-54,4,1.2,Card
25-34,5,2.2,BNPL
35-44,4,5.6,Card
25-34,4,6.0,PayPal
35-44,4,3.7,PayPal
35-44,4,4.7,Card
35-44,4,4.4,PayPal
18-24,5,7.7,Card
45-54,4,5.3,BNPL
25-34,5,3.8,Card
18-24,5,2.9,Card
18-24,3,2.1,Card
35-44,2,4.2,BNPL
35-44,2,3.1,PayPal
18-24,1,2.3,PayPal
35-44,2,3.2,Card
25-34,4,2.7,PayPal
35-44,2,6.0,Card
18-24,3,5.1,BNPL
35-44,5,4.0,Card
25-34,1,5.8,Card
55-64,5,4.1,Card
18-24,3,3.0,Card
25-34,2,5.8,PayPal
18-24,4,4.6,Card
55-64,4,2.8,PayPal
45-54,5,3.8,Card
25-34,4,2.9,PayPal
35-44,5,2.3,Card
45-54,3,5.1,Card
35-44,3,6.3,PayPal
35-44,5,2.3,Card
25-34,5,4.7,Card
18-24,5,3.2,BNPL
45-54,4,3.4,BNPL
55-64,4,3.3,Card
35-44,5,3.0,Card
25-34,3,4.1,PayPal
25-34,5,3.0,Card
35-44,5,4.3,Card
45-54,4,3.9,Card
45-54,5,3.7,PayPal
45-54,5,2.9,PayPal